RELEASE_YEAR,PROD_COMPANY_NAME,BUDGET,REVENUE,PROFIT,POPULARITY,N_ANIMATION,N_COMEDY,N_FAMILY,N_ADVENTURE,N_FANTASY,N_DRAMA,N_ROMANCE,N_ACTION,N_CRIME,N_THRILLER,N_HISTORY,N_SCIENCE_FICTION,N_MYSTERY,N_HORROR,N_WAR,N_FOREIGN,N_DOCUMENTARY,N_WESTERN,N_MUSIC,N_TV_MOVIE
1937,Walt Disney Productions,4465269,554776458,550311189,16.263878,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1938,Columbia Pictures,3289472,14866202,11576730,4.370592,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1938,Twentieth Century Fox Film Corporation,6000000,12000000,6000000,0.632261,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1938,Warner Bros.,6099000,11943000,5844000,10.685036000000002,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1939,Columbia Pictures,3000000,19200000,16200000,8.168694,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1939,Loew's Incorporated,8331000,101264901,92933901,22.064932,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1939,Metro-Goldwyn-Mayer (MGM),18106000,1209627377,1191521377,9.016348714285714,0,2,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
1939,Selznick International Pictures,12000000,1200529377,1188529377,14.240356999999998,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1939,United Artists,1062748,2207514,1144766,7.970462,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1940,Metro-Goldwyn-Mayer (MGM),6000000,27516000,21516000,1.5285400000000002,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1940,RKO Radio Pictures,5200000,168600000,163400000,14.202284,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940,Roy Export Company Establishment,2000000,11000000,9000000,9.241748,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940,Selznick International Pictures,2576000,12000000,9424000,8.590813,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1940,United Artists,2000000,11000000,9000000,9.241748,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
