RELEASE_YEAR,PROD_COMPANY_NAME,BUDGET,REVENUE,PROFIT,POPULARITY,N_ANIMATION,N_COMEDY,N_FAMILY,N_ADVENTURE,N_FANTASY,N_DRAMA,N_ROMANCE,N_ACTION,N_CRIME,N_THRILLER,N_HISTORY,N_SCIENCE_FICTION,N_MYSTERY,N_HORROR,N_WAR,N_FOREIGN,N_DOCUMENTARY,N_WESTERN,N_MUSIC,N_TV_MOVIE
1995,Talisman Productions,28000000,31596911,3596911,10.193549,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Teitler Film,195000000,788391747,593391747,17.015539,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Tele München Fernseh Produktionsgesellschaft (TMG),54000000,5215833,-48784167,9.822423,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1995,Televisión Española (TVE),54000000,5215833,-48784167,9.822423,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1995,The Harvey Entertainment Company,150000000,863784582,713784582,12.812539,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,The Ladd Company,288000000,840000000,552000000,20.755149,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1995,The Movie Network (TMN),40000000,11563770,-28436230,12.758848,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1995,The Rank Organisation,80000000,85138056,5138056,10.448481,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,Threshold Entertainment,36000000,244391840,208391840,10.870138,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1995,Toei Company,75000000,330000000,255000000,7.024226999999999,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1995,Touchstone Pictures,28000000,4948000,-23052000,1.596058,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,TriStar Pictures,507800000,993700255,485900255,10.00215405882353,0,0,1,2,1,3,1,2,0,4,0,1,1,0,0,0,0,1,0,0
1995,Trilogy Entertainment Group,100000000,16257980,-83742020,7.602087,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1995,Triumph Films,40000000,11563770,-28436230,12.758848,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1995,Twentieth Century Fox Film Corporation,343000000,1406584814,1063584814,8.034050666666664,0,1,1,1,1,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0
1995,United Artists,334200000,1238384679,904184679,13.787287090909091,0,0,0,2,0,3,1,2,1,2,0,0,0,0,0,0,0,0,0,0
1995,Universal Pictures,1076500000,3786401794,2709901794,10.424390919999999,0,3,2,2,2,5,2,2,2,2,0,1,2,0,0,0,0,0,0,0
1995,Victoires Productions,54000000,5215833,-48784167,9.822423,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1995,Victor Company of Japan (JVC),120000000,208648166,88648166,7.490247,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1995,View Askew Productions,12000000,4245122,-7754878,8.25547,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Walt Disney Feature Animation,220000000,1384319092,1164319092,13.280069,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Walt Disney Pictures,220000000,1384319092,1164319092,13.280069,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Warner Bros.,1353000000,3895497472,2542497472,11.202923000000002,0,1,0,2,1,4,3,6,4,5,0,1,0,0,0,0,0,0,0,0
1995,Working Title Films,11000000,39363635,28363635,6.891317,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Yash Raj Films,39600000,300000000,260400000,34.457024,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Zucker Brothers Productions,40000000,100025014,60025014,9.715639,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,1492 Pictures,120000000,259664778,139664778,7.898202,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,20th Century Fox Television,20000000,168000000,148000000,5.147819,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1996,40 Acres & A Mule Filmworks,14400000,10671042,-3728958,4.817914999999999,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,A Band Apart,76000000,103346464,27346464,15.339153,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
1996,Algonquin Productions Limited,45000000,229146,-44770854,1.6724059999999998,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1996,Allied Filmmakers,114000060,86763797,-27236263,5.838059875,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Amblin Entertainment,276000000,1483414572,1207414572,8.739144,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1996,American Films,51060000,40160040,-10899960,4.557006,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,American Zoetrope,135000000,175862919,40862919,6.287245000000001,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1996,BBC Worldwide,20000000,168000000,148000000,5.147819,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1996,Baltimore Pictures,132000000,496845855,364845855,9.198283,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1996,Bazmark Films,29000000,294597522,265597522,11.774061,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Brian Grazer/Scott Rudin Productions,160000000,618985362,458985362,8.772188,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1996,Brillstein-Grey Entertainment,12000000,41205099,29205099,9.592265,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,British Broadcasting Corporation (BBC),14000000,810000,-13190000,3.379677,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,C&P Productions,25000000,2454648,-22545352,2.772039,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1996,Castle Rock Entertainment,253000000,439786922,186786922,7.3607187,0,1,0,0,0,4,1,0,1,2,0,0,1,0,0,0,0,0,0,0
1996,Centropolis Entertainment,225000000,2450907804,2225907804,17.634197,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1996,Channel Four Films,12500000,46399452,33899452,16.640168,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1996,Chicago Pacific Entertainment,200000000,240837336,40837336,15.874491,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1996,CiBy 2000,4500000,13417292,8917292,11.223572,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Cine Grande Corporation,45000000,229146,-44770854,1.6724059999999998,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1996,Cinergi Pictures Entertainment,165000000,423141537,258141537,6.709803,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1996,Columbia Pictures,363400000,634605897,271205897,9.44524676923077,0,0,0,1,1,4,0,1,1,4,0,0,0,1,0,0,0,0,0,0
1996,Columbia Pictures Corporation,177000000,349967484,172967484,7.8537903333333325,0,2,0,0,0,3,1,0,1,1,0,0,1,0,0,0,0,0,0,0
1996,Conquistador Entertainment,45000000,229146,-44770854,1.6724059999999998,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1996,Constant c Productions,276000000,1483414572,1207414572,8.739144,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1996,Constellation Films,50000000,75000000,25000000,10.789928,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Courtside Seats Productions,400000000,1251000000,851000000,11.054251,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Cruise/Wagner Productions,240000000,1373089077,1133089077,15.793477000000001,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1996,Davis Entertainment,524000000,926161397,402161397,10.040627666666666,0,0,0,1,0,2,0,1,1,2,0,0,1,0,1,0,0,0,0,0
1996,Digital Image Associates,184000000,600000000,416000000,8.808497,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1996,Dimension Films,130000000,672511453,542511453,11.712550199999999,0,0,0,0,0,0,0,1,2,2,0,1,1,3,0,0,0,0,0,0
1996,Dino De Laurentiis Company,18000000,28045268,10045268,12.449574,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1996,Don Simpson/Jerry Bruckheimer Films,225000000,1005187863,780187863,13.249823999999998,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1996,Eleventh Street Production,5924102,6022390,98288,4.797674,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1996,Epithète Films,9000000,7511487,-1488513,10.879283,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Figment Films,8000000,32982160,24982160,19.348466,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1996,Film4,8000000,32982160,24982160,19.348466,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1996,Filmline International,45000000,229146,-44770854,1.6724059999999998,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1996,Forge,260000000,357827044,97827044,14.482345,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
1996,Fox Searchlight Pictures,19000000,23905097,4905097,8.686566999999998,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Geffen Pictures,56000000,33800000,-22200000,6.728199,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1996,Goldcrest Films International,100000000,6457064,-93542936,3.596317,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1996,Gracie Films,171000000,822337983,651337983,9.356215999999998,0,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1996,Great Oaks Entertainment,243000000,817241507,574241507,8.360646200000001,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1996,Green Parrot,6000000,445118,-5554882,7.04756,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1996,Haft Entertainment,18000000,66694974,48694974,6.593011,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Hollywood Pictures,601000000,1624792319,1023792319,8.897984,0,1,0,1,0,3,0,2,0,1,1,1,0,0,0,0,0,0,1,0
1996,Imagine Entertainment,316000000,560158098,244158098,7.767218666666667,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1996,Independent Pictures (II),6400000,9318154,2918154,4.4016295,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Irish Film Industry,100000000,6457064,-93542936,3.596317,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1996,Jersey Films,108000000,100378248,-7621752,10.034915,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Jon Kilik,5924102,6022390,98288,4.797674,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1996,Kopelson Entertainment,400000000,969182248,569182248,6.919314,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
1996,Largo Entertainment,76000000,20600000,-55400000,9.568604,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1996,Live Entertainment,100000000,56193488,-43806512,6.497591,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
1996,Los Hooligans Productions,76000000,103346464,27346464,15.339153,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
1996,MDP Worldwide,60000000,114801094,54801094,7.941972,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1996,Mandalay Entertainment,165000000,55879257,-109120743,12.202063,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1996,Mark Gordon Productions,200000000,601080588,401080588,14.957626,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1996,Mary Breen-Farrelly Productions,100000000,6457064,-93542936,3.596317,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1996,Matchmaker Films,18000000,66694974,48694974,6.593011,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Mediaworks,100000000,56193488,-43806512,6.497591,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
1996,Merchant Ivory Productions,32000000,3970002,-28029998,2.167132,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Metro-Goldwyn-Mayer (MGM),102000000,76603127,-25396873,5.838548500000001,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1996,Metropolitan Filmexport,268000000,189068004,-78931996,11.845918,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1996,Mirabai Films,9000000,12327285,3327285,7.124652,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1996,Miramax,81924102,109368854,27444752,11.825326666666667,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0
1996,Miramax Films,241400000,1004723426,763323426,7.522440120000002,0,5,0,0,1,7,4,1,2,2,0,1,0,1,1,0,0,0,0,0
1996,Morgan Creek Productions,37000000,5185060,-31814940,2.8446373333333335,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1996,Motion Picture Corporation of America,27000000,25023434,-1976566,11.633347,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,NDF International,9000000,12327285,3327285,7.124652,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1996,NFH Productions,188000000,49517608,-138482392,12.866139,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1996,New Line Cinema,714000000,849920743,135920743,9.87928511764706,0,1,0,0,1,3,0,3,4,2,0,1,1,1,0,0,0,0,0,0
1996,Newmarket Capital Group,45000000,229146,-44770854,1.6724059999999998,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1996,Noel Gay Motion Picture Company,8000000,32982160,24982160,19.348466,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1996,Northern Lights Entertainment,400000000,1251000000,851000000,11.054251,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,October Films,4500000,13417292,8917292,11.223572,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Pachyderm Production,100000000,6457064,-93542936,3.596317,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1996,Paramount,50000000,75000000,25000000,10.789928,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Paramount Pictures,834000000,2587265047,1753265047,11.11740452941176,0,0,0,4,0,1,0,4,1,4,0,2,1,0,0,0,0,0,0,0
1996,Peter Newman/Interal,100000000,6457064,-93542936,3.596317,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1996,Po' Boy Productions,19200000,12056000,-7144000,0.343579,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1996,PolyGram Filmed Entertainment,35000000,182645925,147645925,8.9206848,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1996,Pope Productions,1000000,862652,-137348,1.143656,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Propaganda Films,132000000,496845855,364845855,9.198283,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1996,Regency Enterprises,255000000,618361785,363361785,9.7793365,0,1,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1996,Revolution Films,14000000,810000,-13190000,3.379677,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Rio Dulce,15000000,39809889,24809889,9.069963,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1996,Robert Simonds Productions,12000000,41205099,29205099,9.592265,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Rysher Entertainment,206000000,169554578,-36445422,10.502107333333333,0,0,0,1,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0
1996,Scott Free Productions,76000000,20600000,-55400000,9.568604,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1996,Scott Rudin Productions,49000000,129203305,80203305,7.7426435,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Selima Films AVV,60000000,114801094,54801094,7.941972,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1996,Signature Pictures,60000000,114801094,54801094,7.941972,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1996,Silver Pictures,220000000,487876864,267876864,13.106291,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1996,Simian Films,76000000,34760252,-41239748,4.990506,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1996,Sivashakthi Movie Makers,500000,500000,0,0.071908,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Sony Pictures,36000000,20300385,-15699615,9.178371,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Spelling Films,18000000,28045268,10045268,12.449574,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1996,Steelwork Films,100000000,56193488,-43806512,6.497591,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
1996,Tales From The Crypt Holdings,30000000,11200000,-18800000,3.450402,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1996,The Alfred Shay Company Inc.,400000,9011844,8611844,6.578025,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,The Bubble Factory,51060000,40160040,-10899960,4.557006,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,The Ladd Company,90000000,34601778,-55398222,8.079541,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1996,The Steve Tisch Company,260000000,357827044,97827044,14.482345,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
1996,Thin Man Films,4500000,13417292,8917292,11.223572,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Tiger Moth Productions,81000000,695929275,614929275,15.564161,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1996,Tim Burton Productions,210000000,304113051,94113051,15.63424,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1996,Tinderbox Films,6900000,148860,-6751140,2.7815810000000005,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1996,Touchstone Pictures,528000000,1515690156,987690156,5.412015833333335,0,1,1,0,2,2,2,1,0,1,0,2,0,0,0,0,0,0,0,0
1996,Trans Atlantic Entertainment,12000000,50025000,38025000,5.263187,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
1996,TriStar Pictures,686000000,1056642889,370642889,11.322287062500001,0,3,1,0,1,4,3,0,0,2,0,0,1,1,0,0,0,0,0,0
1996,Tribeca Productions,23000000,12803305,-10196695,5.307984,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Trinity Filmed Entertainment,6000000,445118,-5554882,7.04756,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1996,Twentieth Century Fox Film Corporation,958000000,4250531300,3292531300,13.78720257894737,0,1,1,2,0,4,1,3,0,3,0,2,1,0,1,0,0,0,0,0
1996,United Artists,31000000,185260553,154260553,6.49968,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Universal City Studios,30000000,11200000,-18800000,3.450402,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1996,Universal Pictures,1202060000,2993009933,1790949933,8.829007846153843,0,5,1,5,2,2,1,4,1,2,0,1,0,2,0,0,0,0,0,0
1996,Universal TV,20000000,168000000,148000000,5.147819,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1996,Village Roadshow Pictures,90000000,34601778,-55398222,8.079541,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1996,WCG Entertainment Productions,200000000,601080588,401080588,14.957626,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1996,Walt Disney Pictures,522000000,1028558933,506558933,12.90704525,2,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Warner Bros.,1369000000,4093566384,2724566384,8.830000166666666,0,2,1,2,0,7,1,3,2,5,0,0,1,0,0,0,0,0,0,0
1996,Warner Bros. Family Entertainment,400000000,1251000000,851000000,11.054251,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,WingNut Films,60000000,58718432,-1281568,12.09096,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1996,Woods Entertainment,42000000,519139989,477139989,13.326443,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
1996,Working Title Films,21000000,181835925,160835925,12.614690000000001,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1996,"Zanuck Company, The",200000000,240837336,40837336,15.874491,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1997,3 Arts Entertainment,38000000,88664030,50664030,4.347079,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,A&B Producoes,150000000,328270944,178270944,14.825587,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1997,Across the River Productions,45000000,134586561,89586561,9.15931,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1997,Alliance Communications,5000000,3263585,-1736415,6.002992,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,Alphaville Films,240000000,637321120,397321120,11.131917,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1997,Amblin Entertainment,579000000,3044785728,2465785728,9.355495000000001,0,1,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
1997,Applecross,210000000,394373046,184373046,11.483493000000001,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1997,Arnold Kopelson Productions,150000000,31624569,-118375431,4.909738,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1997,Arts Council of England,9000000,906612,-8093388,1.6312880000000003,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1997,Asymmetrical Productions,45000000,11025603,-33974397,8.449722,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1997,Baltimore Pictures,135000000,254378017,119378017,10.3626332,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1997,Be Gentlemen Limited Partnership,10000000,225933435,215933435,15.064833,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,Beacon Communications,170000000,630312818,460312818,12.173291,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1997,Big Bug Pictures,420000000,484857508,64857508,14.412644,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1997,Blood Money Partners LP,130000,1596,-128404,0.471913,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1997,Blue Tulip Productions,480000000,493524198,13524198,11.268531000000001,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1997,Brandywine Productions,210000000,486000000,276000000,15.57784,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1997,British Broadcasting Corporation (BBC),420000000,739190944,319190944,9.661081285714285,0,0,0,1,0,0,0,1,1,2,0,0,1,1,0,0,0,0,0,0
1997,Canal+,4000000,29456000,25456000,5.099557,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,Canal+ Droits Audiovisuels,37000000,14720159,-22279841,7.5349955,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1997,Canal+ España,5800000,736468,-5063532,8.842959,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1997,Capella International,49500000,203051967,153551967,11.749159,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1997,Caravan Pictures,375000000,256276127,-118723873,10.193726428571429,0,1,0,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0
1997,Castle Rock Entertainment,150000000,150204930,204930,7.66124,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1997,Channel Four Films,3500000,257850122,254350122,8.333322,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,Ciby 2000,45000000,11025603,-33974397,8.449722,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1997,Cinema Line Film Corporation,135000000,410657301,275657301,14.386089,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1997,Cinergi Pictures Entertainment,90000000,4309080,-85690920,3.733574,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1997,Clyde Is Hungry Films,19000000,6682098,-12317902,7.923639,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1997,Columbia Pictures,1014000000,1942359579,928359579,15.207181266666671,0,0,0,1,1,2,1,1,2,4,0,2,1,0,0,0,0,0,0,0
1997,Columbia Pictures Corporation,841000000,4275290677,3434290677,10.245176235294123,0,2,0,3,1,1,0,2,0,3,0,1,1,2,0,0,0,0,1,0
1997,Cometstone Pictures,44000000,53140926,9140926,7.145784,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1997,Constellation Entertainment,120000000,137750307,17750307,6.683398,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1997,Cube Libre,750000,1505454,755454,12.095262999999997,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
1997,DC Entertainment,48000000,5059287,-42940713,2.890462,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1997,Daiei Studios,80000,396000,316000,3.111281,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
1997,David Kirschner Productions,128000000,14266548,-113733452,3.406836,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
