RELEASE_YEAR,GENRE,BUDGET,REVENUE,PROFIT,POPULARITY
1945,Crime,1453000,5638000,4185000,4.497049
1945,Drama,7565007,35718386,28153379,25.29562
1945,Mystery,1500000,7000000,5500000,5.47596
1945,Thriller,1500000,7000000,5500000,5.47596
1946,Drama,7280000,57758866,50478866,31.236042
1946,Family,3180000,9644124,6464124,15.031588
1946,Fantasy,3180000,9644124,6464124,15.031588
1946,History,2100000,23650000,21550000,6.069343
1946,Romance,4100000,48114742,44014742,16.204454
1946,Thriller,2000000,24464742,22464742,10.135111
1946,Western,6000000,20400000,14400000,8.441279
1947,Drama,2000000,7800000,5800000,6.857318
1947,Romance,2000000,7800000,5800000,6.857318
1948,Action,5043000,7148000,2105000,11.873857000000001
1948,Adventure,3800000,4307000,507000,8.070589
1948,Comedy,784170,834332,50162,0.578456
1948,Crime,1500000,2200000,700000,7.248676
1948,Drama,7460170,10544044,3083874,32.934125
1948,Fantasy,784170,834332,50162,0.578456
1948,Music,3700000,2956000,-744000,1.830178
1948,Mystery,1500000,2200000,700000,7.248676
1948,Romance,4484170,3790332,-693838,2.408634
1948,Science Fiction,784170,834332,50162,0.578456
1948,Thriller,1500000,2200000,700000,7.248676
1948,Western,10543000,19160000,8617000,23.464016
1949,Action,1000000,7800000,6800000,2.828371
1949,Drama,4000000,19300000,15300000,5.357009
1949,History,1000000,7800000,6800000,2.828371
1949,Romance,3000000,11500000,8500000,2.528638
1949,War,1000000,7800000,6800000,2.828371
1949,Western,1600000,5400000,3800000,7.715087
1950,Action,3768785,8000000,4231215,2.090588
1950,Animation,2900000,263591415,260691415,14.436858
1950,Comedy,3768785,8000000,4231215,2.090588
1950,Crime,250000,96568,-153432,9.887355
1950,Drama,3402000,5160031,1758031,33.660212
1950,Family,2900000,263591415,260691415,14.436858
1950,Fantasy,2900000,263591415,260691415,14.436858
1950,Music,5883785,10039000,4155215,2.200501
1950,Mystery,250000,96568,-153432,9.887355
1950,Romance,6668785,271591415,264922630,16.527446
1950,Western,3768785,8000000,4231215,2.090588
1951,Adventure,4300000,582750000,578450000,23.125809
1951,Animation,3000000,572000000,569000000,16.488937
1951,Comedy,2723903,4500000,1776097,5.565203
1951,Crime,1200000,7000000,5800000,15.41773
1951,Drama,15794955,50800000,35005045,51.172048000000004
1951,Family,3000000,572000000,569000000,16.488937
1951,Fantasy,3000000,572000000,569000000,16.488937
1951,History,8250000,30000000,21750000,11.840985
1951,Music,5023903,15500000,10476097,7.5831930000000005
1951,Romance,14573903,56250000,41676097,26.06105
1951,Thriller,1200000,7000000,5800000,15.41773
1951,War,1300000,10750000,9450000,6.636872
1952,Action,7005000,42746000,35741000,7.81491
1952,Adventure,3005000,6746000,3741000,3.803547
1952,Comedy,2540800,7200000,4659200,11.064858
1952,Drama,7005000,42746000,35741000,7.81491
1952,Music,2540800,7200000,4659200,11.064858
1952,Romance,6540800,43200000,36659200,15.076221
1952,Western,730000,8000000,7270000,16.715935
1953,Action,1805000,4905000,3100000,12.90707
1953,Adventure,4210000,92404651,88194651,20.285590000000003
1953,Animation,4000000,87404651,83404651,16.861533
1953,Comedy,1500000,12000000,10500000,11.954806
1953,Crime,1908000,32300000,30392000,23.67747
1953,Drama,11905000,99905000,88000000,43.335557
1953,Family,4000000,87404651,83404651,16.861533
1953,Fantasy,4000000,87404651,83404651,16.861533
1953,Horror,2868000,30800000,27932000,18.105462
1953,Music,4000000,87404651,83404651,16.861533
1953,Mystery,658000,23800000,23142000,9.072006
1953,Romance,4955000,47405000,42450000,30.220458
1953,Science Fiction,2226000,8000000,5774000,9.925932
1953,Thriller,3250000,10500000,7250000,20.214863
1953,War,1650000,30500000,28850000,5.358582
1953,Western,3100000,20000000,16900000,6.63816
1954,Action,2000000,271841,-1728159,15.01777
1954,Adventure,5000000,28200000,23200000,8.722406
1954,Comedy,2238813,10000000,7761187,7.359741
1954,Crime,2310000,12600000,10290000,26.064324000000003
1954,Drama,22648813,124786154,102137341,86.909912
1954,History,5000000,15000000,10000000,10.374608
1954,Mystery,2400000,39764313,37364313,25.764545000000002
1954,Romance,6738813,13200000,6461187,7.672772999999999
1954,Science Fiction,5000000,28200000,23200000,8.722406
1954,Thriller,2400000,39764313,37364313,25.764545000000002
1954,War,2000000,21750000,19750000,8.999948
1955,Action,66000,250000,184000,1.114697
1955,Comedy,1200000,7000000,5800000,6.486117
1955,Crime,3837000,12788000,8951000,14.046319
1955,Drama,4180001,15788005,11608004,32.06423
1955,Mystery,3700000,15750000,12050000,11.976621999999999
1955,Romance,2843000,11750000,8907000,17.079586
1955,Thriller,3700000,15750000,12050000,11.976621999999999
1955,Western,1271000,3788000,2517000,7.441117
1956,Action,8300000,47250000,38950000,18.401832000000002
1956,Adventure,14900000,65900000,51000000,29.407784999999997
1956,Comedy,6000000,42000000,36000000,6.164226
1956,Crime,3700000,12250000,8550000,21.108573
1956,Drama,44070000,240910000,196840000,64.439156
1956,Family,6000000,42000000,36000000,6.164226
1956,Fantasy,6000000,42000000,36000000,6.164226
1956,History,13000000,122700000,109700000,11.14704
1956,Music,5550000,30300000,24750000,8.788305
1956,Mystery,3700000,12250000,8550000,21.108573
1956,Romance,17550000,84800000,67250000,18.618807999999998
1956,Science Fiction,1900000,3250000,1350000,6.379966
1956,Thriller,2500000,10250000,7750000,12.547763
1956,War,6000000,12500000,6500000,3.666277
1956,Western,6400000,44000000,37600000,12.021866
1957,Adventure,1750000,2200000,450000,4.250819
1957,Crime,3000000,9000000,6000000,9.730217
1957,Drama,8182000,41400000,33218000,40.09348099999999
1957,Fantasy,82000,2000000,1918000,0.75684
1957,History,3000000,27200000,24200000,8.851646
1957,Horror,82000,2000000,1918000,0.75684
1957,Mystery,3000000,9000000,6000000,9.730217
1957,Science Fiction,82000,2000000,1918000,0.75684
1957,War,3000000,27200000,24200000,8.851646
1958,Crime,829000,2247465,1418465,9.665347
1958,Drama,4529000,22817789,18288789,29.867562
1958,Horror,878000,8480000,7602000,12.805007
1958,Music,6000000,36800000,30800000,2.747118
1958,Mystery,2479000,28000000,25521000,18.20822
1958,Romance,11479000,82370324,70891324,32.750184
1958,Science Fiction,788000,3480000,2692000,11.967158
1958,Thriller,3398000,35247465,31849465,28.711416
1958,War,6000000,36800000,30800000,2.747118
1959,Action,15000000,146900000,131900000,14.319743
1959,Adventure,15000000,146900000,131900000,14.319743
1959,Animation,6000000,51000000,45000000,14.276169
1959,Comedy,2883848,25000000,22116152,11.845107
1959,Drama,23500000,171900000,148400000,19.533634000000003
1959,Family,6000000,51000000,45000000,14.276169
1959,Fantasy,6000000,51000000,45000000,14.276169
1959,History,20000000,159100000,139100000,16.059641
1959,Mystery,4000000,13275000,9275000,12.410427
1959,Romance,13883848,88200000,74316152,27.861174000000002
1959,Thriller,4000000,13275000,9275000,12.410427
1959,War,5000000,12200000,7200000,1.739898
1960,Action,28000000,89650000,61650000,23.668117
1960,Adventure,12000000,7900000,-4100000,4.73816
1960,Comedy,7051000,50100000,43049000,19.006778000000004
1960,Drama,34957948,165050000,130092052,80.777381
